,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
17,2003,6,19,4,1931,1715,2208,2005,AA,1366,N570AA,97,110,77,123,136,COS,DFW,592,8,12,0,N,0,0,0,0,0,123
18,2003,6,20,5,1847,1715,2128,2005,AA,1366,N511AA,101,110,79,83,92,COS,DFW,592,10,12,0,N,0,0,0,0,0,83
19,2003,6,21,6,1745,1715,2025,2005,AA,1366,N587AA,100,110,78,20,30,COS,DFW,592,8,14,0,N,0,0,0,0,0,20
20,2003,6,22,7,1724,1715,2003,2005,AA,1366,N558AA,99,110,77,-2,9,COS,DFW,592,11,11,0,N,0,,,,,
21,2003,6,23,1,1723,1715,2007,2005,AA,1366,N499AA,104,110,80,2,8,COS,DFW,592,13,11,0,N,0,,,,,
22,2003,6,24,2,1842,1715,2122,2005,AA,1366,N428AA,100,110,76,77,87,COS,DFW,592,12,12,0,N,0,0,0,0,0,77
23,2003,6,28,6,2029,1715,2354,2005,AA,1366,N283AA,145,110,84,229,194,COS,DFW,592,45,16,0,N,0,0,187,35,0,7
24,2003,6,29,7,1739,1715,2014,2005,AA,1366,N542AA,95,110,80,9,24,COS,DFW,592,6,9,0,N,0,,,,,
25,2003,6,2,1,2056,2050,15,5,AA,1366,N584AA,139,135,116,10,6,DFW,JAX,919,6,17,0,N,0,,,,,
26,2003,6,6,5,2128,2050,43,5,AA,1366,N461AA,135,135,118,38,38,DFW,JAX,919,5,12,0,N,0,38,0,0,0,0
27,2003,6,8,7,2058,2050,14,5,AA,1366,N451AA,136,135,119,9,8,DFW,JAX,919,6,11,0,N,0,,,,,
28,2003,6,9,1,2206,2050,133,5,AA,1366,N530AA,147,135,127,88,76,DFW,JAX,919,3,17,0,N,0,0,22,12,0,54
29,2003,6,10,2,2107,2050,19,5,AA,1366,N528AA,132,135,117,14,17,DFW,JAX,919,4,11,0,N,0,,,,,
30,2003,6,15,7,2056,2050,10,5,AA,1366,N233AA,134,135,114,5,6,DFW,JAX,919,8,12,0,N,0,,,,,
31,2003,6,16,1,2131,2050,40,5,AA,1366,N580AA,129,135,113,35,41,DFW,JAX,919,5,11,0,N,0,35,0,0,0,0
32,2003,6,17,2,2222,2050,139,5,AA,1366,N474AA,137,135,109,94,92,DFW,JAX,919,10,18,0,N,0,0,92,2,0,0
33,2003,6,19,4,2305,2050,211,5,AA,1366,N501AA,126,135,108,126,135,DFW,JAX,919,5,13,0,N,0,65,0,0,0,61
34,2003,6,20,5,2210,2050,123,5,AA,1366,N511AA,133,135,111,78,80,DFW,JAX,919,8,14,0,N,0,7,0,0,0,71
35,2003,6,21,6,2110,2050,17,5,AA,1366,N587AA,127,135,109,12,20,DFW,JAX,919,7,11,0,N,0,,,,,
36,2003,6,22,7,2126,2050,37,5,AA,1366,N558AA,131,135,115,32,36,DFW,JAX,919,6,10,0,N,0,32,0,0,0,0
37,2003,6,24,2,2151,2050,100,5,AA,1366,N428AA,129,135,116,55,61,DFW,JAX,919,3,10,0,N,0,0,0,0,0,55
38,2003,6,25,3,2151,2050,148,5,AA,1366,N482AA,177,135,114,103,61,DFW,JAX,919,5,58,0,N,0,0,61,42,0,0
39,2003,6,27,5,2059,2050,22,5,AA,1366,N253AA,143,135,119,17,9,DFW,JAX,919,4,20,0,N,0,9,0,8,0,0
40,2003,6,1,7,948,720,1223,955,AA,1368,N553AA,155,155,133,148,148,MCO,LGA,950,6,16,0,N,0,148,0,0,0,0
41,2003,6,3,2,727,720,1004,955,AA,1368,N535AA,157,155,139,9,7,MCO,LGA,950,7,11,0,N,0,,,,,
42,2003,6,6,5,730,720,1018,955,AA,1368,N540AA,168,155,154,23,10,MCO,LGA,950,3,11,0,N,0,10,0,13,0,0
43,2003,6,7,6,745,720,1025,955,AA,1368,N4WTAA,160,155,144,30,25,MCO,LGA,950,3,13,0,N,0,25,0,5,0,0
44,2003,6,8,7,1036,720,1312,955,AA,1368,N200AA,156,155,136,197,196,MCO,LGA,950,10,10,0,N,0,196,0,1,0,0
45,2003,6,13,5,757,720,1034,955,AA,1368,N579AA,157,155,139,39,37,MCO,LGA,950,4,14,0,N,0,37,0,2,0,0
46,2003,6,18,3,759,720,1048,955,AA,1368,N248AA,169,155,140,53,39,MCO,LGA,950,13,16,0,N,0,39,0,14,0,0
47,2003,6,20,5,756,720,1018,955,AA,1368,N442AA,142,155,128,23,36,MCO,LGA,950,3,11,0,N,0,23,0,0,0,0
48,2003,6,27,5,745,720,1024,955,AA,1368,N423AA,159,155,138,29,25,MCO,LGA,950,3,18,0,N,0,25,0,4,0,0
49,2003,6,29,7,1038,720,1339,955,AA,1368,N455AA,181,155,131,224,198,MCO,LGA,950,7,43,0,N,0,198,0,26,0,0
50,2003,6,1,7,1640,1555,1801,1725,AA,1369,N448AA,141,150,115,36,45,EWR,ORD,719,6,20,0,N,0,0,0,0,0,36
51,2003,6,3,2,1809,1555,1957,1725,AA,1369,N456AA,168,150,121,152,134,EWR,ORD,719,6,41,0,N,0,0,0,62,0,90
52,2003,6,4,3,1731,1555,1905,1725,AA,1369,N567AA,154,150,109,100,96,EWR,ORD,719,7,38,0,N,0,0,0,14,0,86
53,2003,6,6,5,1922,1555,2102,1725,AA,1369,N579AA,160,150,114,217,207,EWR,ORD,719,8,38,0,N,0,0,0,32,0,185
54,2003,6,11,3,1657,1555,1835,1725,AA,1369,N241AA,158,150,111,70,62,EWR,ORD,719,11,36,0,N,0,0,0,70,0,0
55,2003,6,12,4,1616,1555,1756,1725,AA,1369,N557AA,160,150,109,31,21,EWR,ORD,719,10,41,0,N,0,0,0,31,0,0
56,2003,6,13,5,1642,1555,1825,1725,AA,1369,N255AA,163,150,110,60,47,EWR,ORD,719,9,44,0,N,0,0,0,41,0,19
57,2003,6,15,7,1603,1555,1755,1725,AA,1369,N408AA,172,150,121,30,8,EWR,ORD,719,10,41,0,N,0,0,0,27,0,3
58,2003,6,16,1,1709,1555,2103,1725,AA,1369,N402AA,294,150,113,218,74,EWR,ORD,719,10,171,0,N,0,0,0,152,0,66
59,2003,6,17,2,1649,1555,1828,1725,AA,1369,N292AA,159,150,113,63,54,EWR,ORD,719,15,31,0,N,0,0,0,63,0,0
60,2003,6,18,3,1932,1555,2124,1725,AA,1369,N545AA,172,150,111,239,217,EWR,ORD,719,9,52,0,N,0,217,0,22,0,0
61,2003,6,20,5,1640,1555,1825,1725,AA,1369,N478AA,165,150,118,60,45,EWR,ORD,719,14,33,0,N,0,31,0,15,0,14
62,2003,6,22,7,1719,1555,1920,1725,AA,1369,N439AA,181,150,111,115,84,EWR,ORD,719,21,49,0,N,0,0,0,115,0,0
63,2003,6,23,1,1736,1555,1905,1725,AA,1369,N554AA,149,150,116,100,101,EWR,ORD,719,4,29,0,N,0,0,0,8,0,92
64,2003,6,24,2,1608,1555,1815,1725,AA,1369,N406AA,187,150,115,50,13,EWR,ORD,719,11,61,0,N,0,0,0,39,0,11
65,2003,6,25,3,1629,1555,1818,1725,AA,1369,N459AA,169,150,113,53,34,EWR,ORD,719,10,46,0,N,0,0,0,53,0,0
66,2003,6,26,4,1612,1555,1732,1725,AA,1369,N514AA,140,150,114,7,17,EWR,ORD,719,8,18,0,N,0,,,,,
67,2003,6,27,5,1634,1555,1808,1725,AA,1369,N4XRAA,154,150,113,43,39,EWR,ORD,719,10,31,0,N,0,0,0,43,0,0
68,2003,6,29,7,1720,1555,1905,1725,AA,1369,N481AA,165,150,114,100,85,EWR,ORD,719,9,42,0,N,0,0,64,15,0,21
69,2003,6,6,5,627,610,803,800,AA,1370,N278AA,156,170,140,3,17,BOS,STL,1046,5,11,0,N,0,,,,,
70,2003,6,7,6,723,610,935,800,AA,1370,N444AA,192,170,167,95,73,BOS,STL,1046,5,20,0,N,0,73,0,22,0,0
71,2003,6,21,6,617,610,801,800,AA,1370,N259AA,164,170,149,1,7,BOS,STL,1046,4,11,0,N,0,,,,,
72,2003,6,7,6,1007,850,1328,1210,AA,1370,N410AA,141,140,127,78,77,STL,RSW,979,3,11,0,N,0,77,0,1,0,0
73,2003,6,9,1,1620,1430,1758,1615,AA,1373,N524AA,158,165,137,103,110,MCO,DFW,984,9,12,0,N,0,0,79,0,0,24
74,2003,6,12,4,1601,1430,1747,1615,AA,1373,N543AA,166,165,142,92,91,MCO,DFW,984,7,17,0,N,0,0,0,1,0,91
75,2003,6,13,5,1525,1430,1705,1615,AA,1373,N524AA,160,165,142,50,55,MCO,DFW,984,4,14,0,N,0,0,5,0,0,45
76,2003,6,17,2,1438,1430,1723,1615,AA,1373,N538AA,225,165,197,68,8,MCO,DFW,984,12,16,0,N,0,0,0,60,0,8
77,2003,6,18,3,1449,1430,1640,1615,AA,1373,N540AA,171,165,149,25,19,MCO,DFW,984,10,12,0,N,0,0,0,6,0,19
78,2003,6,19,4,1527,1430,1710,1615,AA,1373,N503AA,163,165,141,55,57,MCO,DFW,984,10,12,0,N,0,0,0,0,0,55
79,2003,6,20,5,1437,1430,1613,1615,AA,1373,N425AA,156,165,134,-2,7,MCO,DFW,984,8,14,0,N,0,,,,,
80,2003,6,21,6,1553,1430,1746,1615,AA,1373,N586AA,173,165,133,91,83,MCO,DFW,984,16,24,0,N,0,0,21,8,0,62
81,2003,6,23,1,1448,1430,1627,1615,AA,1373,N551AA,159,165,132,12,18,MCO,DFW,984,11,16,0,N,0,,,,,
82,2003,6,25,3,1543,1430,1736,1615,AA,1373,N521AA,173,165,146,81,73,MCO,DFW,984,17,10,0,N,0,0,56,8,0,17
83,2003,6,30,1,1517,1430,1657,1615,AA,1373,N406AA,160,165,139,42,47,MCO,DFW,984,9,12,0,N,0,0,0,0,0,42
84,2003,6,1,7,1512,1430,1914,1835,AA,1374,N516AA,182,185,163,39,42,DFW,DCA,1192,6,13,0,N,0,5,0,0,0,34
85,2003,6,3,2,1708,1430,2132,1835,AA,1374,N208AA,204,185,185,177,158,DFW,DCA,1192,6,13,0,N,0,136,0,19,0,22
86,2003,6,4,3,1458,1430,2035,1835,AA,1374,N4XAAA,277,185,198,120,28,DFW,DCA,1192,67,12,0,N,0,4,0,92,0,24
87,2003,6,5,4,1437,1430,1841,1835,AA,1374,N506AA,184,185,152,6,7,DFW,DCA,1192,16,16,0,N,0,,,,,
88,2003,6,6,5,1439,1430,1831,1835,AA,1374,N502AA,172,185,147,-4,9,DFW,DCA,1192,4,21,0,N,0,,,,,
89,2003,6,7,6,1505,1430,1906,1835,AA,1374,N561AA,181,185,167,31,35,DFW,DCA,1192,5,9,0,N,0,12,0,0,0,19
90,2003,6,9,1,1558,1430,2110,1835,AA,1374,N479AA,252,185,156,155,88,DFW,DCA,1192,5,91,0,N,0,0,5,67,0,83
91,2003,6,10,2,1522,1430,1915,1835,AA,1374,N253AA,173,185,146,40,52,DFW,DCA,1192,4,23,0,N,0,0,0,16,0,24
92,2003,6,12,4,1640,1430,2043,1835,AA,1374,N4WUAA,183,185,162,128,130,DFW,DCA,1192,6,15,0,N,0,110,0,0,0,18
93,2003,6,13,5,1609,1430,2006,1835,AA,1374,N537AA,177,185,159,91,99,DFW,DCA,1192,5,13,0,N,0,0,0,70,0,21
94,2003,6,17,2,1438,1430,1902,1835,AA,1374,N503AA,204,185,153,27,8,DFW,DCA,1192,25,26,0,N,0,0,2,19,0,6
95,2003,6,18,3,1440,1430,1849,1835,AA,1374,N458AA,189,185,167,14,10,DFW,DCA,1192,6,16,0,N,0,,,,,
96,2003,6,19,4,1536,1430,2021,1835,AA,1374,N583AA,225,185,153,106,66,DFW,DCA,1192,57,15,0,N,0,0,66,40,0,0
97,2003,6,20,5,1521,1430,1914,1835,AA,1374,N4YMAA,173,185,155,39,51,DFW,DCA,1192,4,14,0,N,0,11,0,0,0,28
98,2003,6,21,6,1517,1430,1858,1835,AA,1374,N241AA,161,185,145,23,47,DFW,DCA,1192,5,11,0,N,0,6,0,0,0,17
99,2003,6,22,7,1652,1430,2141,1835,AA,1374,N432AA,229,185,145,186,142,DFW,DCA,1192,66,18,0,N,0,0,0,179,0,7
100,2004,6,23,1,1535,1430,1928,1835,AA,1374,N292AA,173,185,159,53,65,DFW,DCA,1192,5,9,0,N,0,50,0,0,0,3
101,2004,6,24,2,1436,1430,1821,1835,AA,1374,N4YNAA,165,185,150,-14,6,DFW,DCA,1192,3,12,0,N,0,,,,,
102,2004,6,28,6,1459,1430,1908,1835,AA,1374,N537AA,189,185,165,33,29,DFW,DCA,1192,10,14,0,N,0,0,0,9,0,24
103,2004,6,29,7,1455,1430,1838,1835,AA,1374,N478AA,163,185,138,3,25,DFW,DCA,1192,7,18,0,N,0,,,,,
104,2004,6,30,1,1608,1430,1957,1835,AA,1374,N227AA,169,185,144,82,98,DFW,DCA,1192,6,19,0,N,0,17,0,0,0,65
105,2004,6,6,5,733,725,1115,1110,AA,1375,N5CJAA,222,225,202,5,8,BDL,SJU,1666,5,15,0,N,0,,,,,
106,2004,6,8,7,1246,725,1655,1110,AA,1375,N643AA,249,225,225,345,321,BDL,SJU,1666,12,12,0,N,0,321,0,24,0,0
107,2004,6,10,2,826,725,1205,1110,AA,1375,N630AA,219,225,203,55,61,BDL,SJU,1666,5,11,0,N,0,55,0,0,0,0
108,2004,6,19,4,732,725,1119,1110,AA,1375,N640AA,227,225,211,9,7,BDL,SJU,1666,4,12,0,N,0,,,,,
109,2004,6,28,6,731,725,1119,1110,AA,1375,N5FKAA,228,225,207,9,6,BDL,SJU,1666,4,17,0,N,0,,,,,
110,2004,6,3,2,1403,1345,1500,1450,AA,1377,N462AA,57,65,44,10,18,DFW,XNA,281,4,9,0,N,0,,,,,
111,2004,6,4,3,1358,1345,1451,1450,AA,1377,N279AA,53,65,43,1,13,DFW,XNA,281,3,7,0,N,0,,,,,
112,2004,6,5,4,1357,1345,1507,1450,AA,1377,N4WNAA,70,65,43,17,12,DFW,XNA,281,6,21,0,N,0,10,0,5,0,2
113,2004,6,6,5,1412,1345,1526,1450,AA,1377,N587AA,74,65,49,36,27,DFW,XNA,281,7,18,0,N,0,6,0,9,0,21
114,2004,6,11,3,1352,1345,1447,1450,AA,1377,N493AA,55,65,43,-3,7,DFW,XNA,281,3,9,0,N,0,,,,,
115,2004,6,16,1,1358,1345,1507,1450,AA,1377,N530AA,69,65,45,17,13,DFW,XNA,281,6,18,0,N,0,9,0,4,0,4
116,2004,6,19,4,1419,1345,1518,1450,AA,1377,N428AA,59,65,44,28,34,DFW,XNA,281,4,11,0,N,0,0,28,0,0,0
117,2004,6,20,5,1435,1345,1554,1450,AA,1377,N298AA,79,65,49,64,50,DFW,XNA,281,12,18,0,N,0,5,0,14,0,45
118,2004,6,23,1,1433,1345,1534,1450,AA,1377,N410AA,61,65,48,44,48,DFW,XNA,281,5,8,0,N,0,41,0,0,0,3
119,2004,6,24,2,1359,1345,1456,1450,AA,1377,N556AA,57,65,44,6,14,DFW,XNA,281,3,10,0,N,0,,,,,
120,2004,6,26,4,1419,1345,1521,1450,AA,1377,N550AA,62,65,44,31,34,DFW,XNA,281,4,14,0,N,0,31,0,0,0,0
121,2004,6,5,4,1103,1055,1307,1255,AA,1377,N4WNAA,184,180,164,12,8,IAD,DFW,1172,10,10,0,N,0,,,,,
122,2004,6,9,1,1115,1055,1259,1255,AA,1377,N557AA,164,180,149,4,20,IAD,DFW,1172,5,10,0,N,0,,,,,
123,2004,6,20,5,1126,1055,1350,1255,AA,1377,N298AA,204,180,169,55,31,IAD,DFW,1172,23,12,0,N,0,31,0,24,0,0
124,2004,6,22,7,1035,1025,1244,1225,AA,1377,N506AA,189,180,161,19,10,IAD,DFW,1172,15,13,0,N,0,10,0,9,0,0
125,2004,6,24,2,1616,1055,1821,1255,AA,1377,N540AA,185,180,151,326,321,IAD,DFW,1172,18,16,0,N,0,321,0,5,0,0
126,2004,6,1,7,1249,1050,1354,1150,AA,1378,N555AA,65,60,43,124,119,SAT,DFW,247,9,13,0,N,0,0,0,5,0,119
127,2004,6,9,1,1057,1050,1210,1150,AA,1378,N441AA,73,60,42,20,7,SAT,DFW,247,18,13,0,N,0,0,0,17,0,3
128,2004,6,10,2,1101,1050,1217,1150,AA,1378,N486AA,76,60,49,27,11,SAT,DFW,247,12,15,0,N,0,0,0,20,0,7
129,2004,6,11,3,1125,1050,1230,1150,AA,1378,N469AA,65,60,45,40,35,SAT,DFW,247,8,12,0,N,0,0,0,5,0,35
130,2004,6,13,5,1100,1050,1215,1150,AA,1378,N478AA,75,60,44,25,10,SAT,DFW,247,20,11,0,N,0,0,0,18,0,7
131,2004,6,15,7,1228,1050,1330,1150,AA,1378,N547AA,62,60,44,100,98,SAT,DFW,247,10,8,0,N,0,98,0,2,0,0
132,2004,6,17,2,1305,1050,1412,1150,AA,1378,N462AA,67,60,46,142,135,SAT,DFW,247,11,10,0,N,0,0,0,81,0,61
133,2004,6,21,6,1057,1050,1202,1150,AA,1378,N512AA,65,60,40,12,7,SAT,DFW,247,13,12,0,N,0,,,,,
134,2004,6,22,7,1059,1050,1221,1150,AA,1378,N476AA,82,60,47,31,9,SAT,DFW,247,17,18,0,N,0,0,0,22,0,9
135,2004,6,28,6,1104,1050,1216,1150,AA,1378,N468AA,72,60,42,26,14,SAT,DFW,247,16,14,0,N,0,14,0,12,0,0
136,2004,6,29,7,1113,1050,1214,1150,AA,1378,N584AA,61,60,41,24,23,SAT,DFW,247,9,11,0,N,0,0,0,1,0,23
137,2004,6,3,2,804,750,1006,945,AA,1379,N5BSAA,182,175,157,21,14,MIA,DFW,1121,7,18,0,N,0,14,0,7,0,0
138,2004,6,5,4,1007,750,1155,945,AA,1379,N616AA,168,175,150,130,137,MIA,DFW,1121,5,13,0,N,0,130,0,0,0,0
139,2004,6,15,7,846,750,1028,945,AA,1379,N5CTAA,162,175,148,43,56,MIA,DFW,1121,5,9,0,N,0,43,0,0,0,0
140,2004,6,24,2,826,750,1031,945,AA,1379,N5FGAA,185,175,148,46,36,MIA,DFW,1121,9,28,0,N,0,36,0,10,0,0
141,2004,6,25,3,804,750,959,945,AA,1379,N5FTAA,175,175,152,14,14,MIA,DFW,1121,8,15,0,N,0,,,,,
142,2004,6,30,1,759,750,952,945,AA,1379,N611AA,173,175,149,7,9,MIA,DFW,1121,7,17,0,N,0,,,,,
143,2004,6,3,2,1614,1545,1924,1855,AA,1380,N593AA,130,130,104,29,29,DFW,IND,762,15,11,0,N,0,29,0,0,0,0
144,2004,6,5,4,1552,1545,1854,1855,AA,1380,N4YTAA,122,130,99,-1,7,DFW,IND,762,11,12,0,N,0,,,,,
145,2004,6,10,2,1605,1545,1910,1855,AA,1380,N4WDAA,125,130,103,15,20,DFW,IND,762,8,14,0,N,0,15,0,0,0,0
146,2004,6,11,3,1646,1545,1945,1855,AA,1380,N4WVAA,119,130,101,50,61,DFW,IND,762,6,12,0,N,0,50,0,0,0,0
147,2004,6,13,5,1637,1545,1942,1855,AA,1380,N4YDAA,125,130,101,47,52,DFW,IND,762,8,16,0,N,0,47,0,0,0,0
148,2004,6,15,7,1555,1545,1902,1855,AA,1380,N589AA,127,130,107,7,10,DFW,IND,762,11,9,0,N,0,,,,,
149,2004,6,17,2,1611,1545,1913,1855,AA,1380,N4YGAA,122,130,101,18,26,DFW,IND,762,4,17,0,N,0,0,3,0,0,15
150,2004,6,19,4,1659,1545,2002,1855,AA,1380,N420AA,123,130,105,67,74,DFW,IND,762,9,9,0,N,0,0,67,0,0,0
151,2004,6,20,5,1703,1545,2011,1855,AA,1380,N459AA,128,130,101,76,78,DFW,IND,762,12,15,0,N,0,62,0,0,0,14
152,2004,6,23,1,1601,1545,1905,1855,AA,1380,N4XNAA,124,130,108,10,16,DFW,IND,762,5,11,0,N,0,,,,,
153,2004,6,27,5,1625,1545,1928,1855,AA,1380,N410AA,123,130,105,33,40,DFW,IND,762,9,9,0,N,0,33,0,0,0,0
154,2004,6,28,6,1559,1545,1907,1855,AA,1380,N4XCAA,128,130,102,12,14,DFW,IND,762,11,15,0,N,0,,,,,
155,2004,6,29,7,1554,1545,1917,1855,AA,1380,N436AA,143,130,104,22,9,DFW,IND,762,20,19,0,N,0,9,0,13,0,0
156,2004,6,2,1,1232,1225,1402,1340,AA,1381,N530AA,150,135,108,22,7,ATL,DFW,732,22,20,0,N,0,7,0,15,0,0
157,2004,6,4,3,1246,1225,1358,1340,AA,1381,N534AA,132,135,112,18,21,ATL,DFW,732,6,14,0,N,0,0,0,0,0,18
158,2004,6,5,4,1245,1225,1359,1340,AA,1381,N218AA,134,135,111,19,20,ATL,DFW,732,8,15,0,N,0,19,0,0,0,0
159,2004,6,7,6,1233,1225,1356,1340,AA,1381,N232AA,143,135,107,16,8,ATL,DFW,732,22,14,0,N,0,0,0,12,0,4
160,2004,6,18,3,1242,1225,1401,1340,AA,1381,N227AA,139,135,104,21,17,ATL,DFW,732,15,20,0,N,0,4,0,4,0,13
161,2004,6,20,5,1401,1225,1519,1340,AA,1381,N509AA,138,135,111,99,96,ATL,DFW,732,13,14,0,N,0,0,0,3,0,96
162,2004,6,23,1,1240,1225,1347,1340,AA,1381,N431AA,127,135,102,7,15,ATL,DFW,732,14,11,0,N,0,,,,,
163,2004,6,25,3,1251,1225,1350,1340,AA,1381,N498AA,119,135,97,10,26,ATL,DFW,732,8,14,0,N,0,,,,,
164,2004,6,26,4,1330,1225,1441,1340,AA,1381,N244AA,131,135,101,61,65,ATL,DFW,732,11,19,0,N,0,0,0,0,0,61
165,2004,6,29,7,1232,1225,1358,1340,AA,1381,N208AA,146,135,104,18,7,ATL,DFW,732,23,19,0,N,0,7,0,11,0,0
166,2004,6,30,1,1249,1225,1404,1340,AA,1381,N4UBAA,135,135,105,24,24,ATL,DFW,732,13,17,0,N,0,0,0,0,0,24
167,2004,6,2,1,1445,1425,1539,1525,AA,1381,N506AA,54,60,36,14,20,DFW,OKC,175,5,13,0,N,0,,,,,
168,2004,6,3,2,1447,1425,1535,1525,AA,1381,N482AA,48,60,33,10,22,DFW,OKC,175,4,11,0,N,0,,,,,
169,2004,6,4,3,1505,1425,1555,1525,AA,1381,N534AA,50,60,33,30,40,DFW,OKC,175,5,12,0,N,0,24,0,0,0,6
170,2004,6,5,4,1438,1425,1542,1525,AA,1381,N560AA,64,60,34,17,13,DFW,OKC,175,5,25,0,N,0,4,0,4,0,9
171,2004,6,7,6,1449,1425,1535,1525,AA,1381,N232AA,46,60,30,10,24,DFW,OKC,175,4,12,0,N,0,,,,,
172,2004,6,9,1,1442,1425,1559,1525,AA,1381,N428AA,77,60,55,34,17,DFW,OKC,175,5,17,0,N,0,7,0,17,0,10
173,2004,6,14,6,1448,1425,1542,1525,AA,1381,N464AA,54,60,33,17,23,DFW,OKC,175,5,16,0,N,0,17,0,0,0,0
174,2004,6,15,7,1436,1425,1528,1525,AA,1381,N208AA,52,60,36,3,11,DFW,OKC,175,7,9,0,N,0,,,,,
175,2004,6,16,1,1431,1425,1524,1525,AA,1381,N4WDAA,53,60,35,-1,6,DFW,OKC,175,5,13,0,N,0,,,,,
176,2004,6,17,2,1510,1425,1636,1525,AA,1381,N541AA,86,60,42,71,45,DFW,OKC,175,6,38,0,N,0,0,15,26,0,30
177,2004,6,18,3,1614,1425,1709,1525,AA,1381,N227AA,55,60,37,104,109,DFW,OKC,175,6,12,0,N,0,94,0,0,0,10
178,2004,6,19,4,1608,1425,1701,1525,AA,1381,N461AA,53,60,33,96,103,DFW,OKC,175,6,14,0,N,0,0,89,0,0,7
179,2004,6,20,5,1616,1425,1702,1525,AA,1381,N509AA,46,60,29,97,111,DFW,OKC,175,5,12,0,N,0,19,0,0,0,78
180,2004,6,26,4,1554,1425,1700,1525,AA,1381,N447AA,66,60,36,95,89,DFW,OKC,175,5,25,0,N,0,35,0,6,0,54
181,2004,6,27,5,1634,1425,1725,1525,AA,1381,N443AA,51,60,33,120,129,DFW,OKC,175,5,13,0,N,0,111,0,0,0,9
182,2004,6,28,6,1432,1425,1522,1525,AA,1381,N516AA,50,60,33,-3,7,DFW,OKC,175,5,12,0,N,0,,,,,
183,2004,6,29,7,1440,1425,1526,1525,AA,1381,N208AA,46,60,30,1,15,DFW,OKC,175,4,12,0,N,0,,,,,
184,2004,6,30,1,1446,1425,1540,1525,AA,1381,N4UBAA,54,60,30,15,21,DFW,OKC,175,6,18,0,N,0,5,0,0,0,10
185,2004,6,1,7,2332,2125,211,20,AA,1382,N5DLAA,159,175,141,111,127,MIA,EWR,1086,7,11,0,N,0,24,0,0,0,87
186,2004,6,4,3,2147,2125,112,20,AA,1382,N629AA,205,175,165,52,22,MIA,EWR,1086,10,30,0,N,0,22,0,30,0,0
187,2004,6,6,5,2222,2125,104,20,AA,1382,N5DCAA,162,175,140,44,57,MIA,EWR,1086,5,17,0,N,0,0,0,0,0,44
